file,column,repeat_count
LimitedPartner.csv,HQEmail,2
LimitedPartner.csv,PrimaryContactEmail,2
ServiceProviderLPRelation.csv,LimitedPartnerName,2
Company.csv,HQAddressLine2,1
Company.csv,PrimaryContact,1
Company.csv,PrimaryContactFirstName,1
CompanyLocationRelation.csv,Address2,1
Deal.csv,AddOnPlatform,1
Deal.csv,CEOFirstName,1
DealTrancheRelation.csv,Investor3,1
EntityLocationRelation.csv,Address2,1
Person.csv,MiddleName,1
ServiceProvider.csv,LastClosedFundName,1
ServiceProvider.csv,ParentCompany,1
