runs_dir,round_index,worker_slot,batch_file,run_dir,active_attempt,attempt_index,first_task_index,last_task_index,status,reason,elapsed_seconds,timeout_seconds,classifier_rows,result_rows,round_entry_started_at,first_row_at,last_progress_at,deferred_at
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,5,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0246.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0246,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0246/attempts/attempt_0004,4,7351,7380,deferred_long_tail,batch_timeout_exceeded,7207,7200,19,19,2026-04-28T02:14:00.711529+00:00,2026-04-28T02:14:12.294060+00:00,2026-04-28T04:14:07.722685+00:00,2026-04-28T04:14:07.737222+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,5,2,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0247.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0247,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0247/attempts/attempt_0002,2,7381,7410,deferred_long_tail,batch_timeout_exceeded,3603,3600,1,1,2026-04-27T16:36:05.141962+00:00,2026-04-27T16:47:32.411870+00:00,2026-04-27T16:47:32.411870+00:00,2026-04-27T17:36:08.969410+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,5,3,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0248.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0248,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0248/attempts/attempt_0001,1,7411,7440,deferred_long_tail,batch_timeout_exceeded,3603,3600,21,22,2026-04-27T16:36:05.141962+00:00,2026-04-27T16:37:39.246133+00:00,2026-04-27T16:48:03.958352+00:00,2026-04-27T17:36:08.969417+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,5,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0249.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0249,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0249/attempts/attempt_0001,1,7441,7470,deferred_long_tail,batch_timeout_exceeded,3603,3600,17,17,2026-04-27T16:36:05.141962+00:00,2026-04-27T16:38:10.675070+00:00,2026-04-27T16:45:57.069220+00:00,2026-04-27T17:36:08.969422+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,5,5,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0250.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0250,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0250/attempts/attempt_0001,1,7471,7500,deferred_long_tail,batch_timeout_exceeded,3603,3600,27,27,2026-04-27T16:36:05.141962+00:00,2026-04-27T16:37:39.246133+00:00,2026-04-27T16:47:32.411870+00:00,2026-04-27T17:36:08.969427+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,6,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0251.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0251,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0251/attempts/attempt_0006,6,7501,7530,deferred_long_tail,batch_timeout_exceeded,3615,3600,17,17,2026-04-27T17:36:22.106579+00:00,2026-04-27T18:09:03.564900+00:00,2026-04-27T18:36:27.259555+00:00,2026-04-27T18:36:37.306265+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,6,2,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0252.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0252,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0252/attempts/attempt_0004,4,7531,7560,deferred_long_tail,batch_timeout_exceeded,3615,3600,3,3,2026-04-27T17:36:22.106579+00:00,2026-04-27T18:09:33.632056+00:00,2026-04-27T18:36:27.259555+00:00,2026-04-27T18:36:37.306279+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,7,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0256.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0256,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0256/attempts/attempt_0003,3,7651,7680,deferred_long_tail,batch_timeout_exceeded,7229,7200,2,2,2026-04-28T05:53:37.466998+00:00,2026-04-28T05:53:37.466998+00:00,2026-04-28T05:55:45.108044+00:00,2026-04-28T07:54:07.321628+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,7,2,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0257.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0257,/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0257/attempts/attempt_0002,2,7681,7710,deferred_long_tail,batch_timeout_exceeded,7240,7200,30,30,,2026-04-28T05:53:37.733876+00:00,2026-04-28T05:57:53.161453+00:00,2026-04-28T07:54:17.918895+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,7,3,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0258.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0258,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0258/attempts/attempt_0004,4,7711,7740,deferred_long_tail,batch_timeout_exceeded,7229,7200,22,22,2026-04-28T05:53:37.466998+00:00,2026-04-28T06:06:11.172802+00:00,2026-04-28T07:54:07.308628+00:00,2026-04-28T07:54:07.321641+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z,11,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0472.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0472,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0472/attempts/attempt_0002,2,14131,14160,deferred_long_tail,batch_timeout_exceeded,23206,7200,1,1,2026-04-30T09:02:04.191906+00:00,2026-04-30T09:02:04.191906+00:00,2026-04-30T09:02:04.191906+00:00,2026-04-30T15:28:50.653532+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z,12,3,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0332.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0332,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0332/attempts/attempt_0009,9,9931,9960,deferred_long_tail,batch_timeout_exceeded,7221,7200,1,1,2026-04-29T21:37:28.963877+00:00,2026-04-29T23:35:51.798259+00:00,2026-04-29T23:37:46.537711+00:00,2026-04-29T23:37:50.357760+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z,14,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0505.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0505,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0505/attempts/attempt_0002,2,15121,15150,deferred_long_tail,batch_timeout_exceeded,18188,7200,2,2,2026-04-30T10:25:42.237120+00:00,2026-04-30T10:25:42.237120+00:00,2026-04-30T10:25:42.237120+00:00,2026-04-30T15:28:50.688277+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z,16,9,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0530.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0530,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0530/attempts/attempt_0002,2,15871,15900,deferred_long_tail,batch_timeout_exceeded,14435,7200,6,6,2026-04-30T11:28:14.985015+00:00,2026-04-30T11:28:14.985015+00:00,2026-04-30T11:28:14.985015+00:00,2026-04-30T15:28:50.723022+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z,18,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0545.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0545,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_remaining224_23rounds_20260430T030511Z/batch_0545/attempts/attempt_0005,5,16321,16350,deferred_long_tail,batch_timeout_exceeded,97893,7200,0,0,2026-04-30T16:09:01.615537+00:00,,,2026-05-01T19:20:35.063951+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z,19,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0368.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0368,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0368/attempts/attempt_0001,1,11011,11040,deferred_long_tail,batch_timeout_exceeded,7200,7200,4,4,2026-04-29T23:10:56.243158+00:00,2026-04-29T23:10:56.243158+00:00,2026-04-29T23:29:34.763229+00:00,2026-04-30T01:10:56.561616+00:00
