InvestorID,InvestorName,source_methods,source_count,token_company_count,deal_count,lead_deal_count,fund_count,token_company_ids,token_company_names,deal_ids,fund_ids,matched_keywords,matched_columns,context
600360-67,Unreasonable Impact,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,184077-64|279421-75,Electrify (Energy Traders and Brokers)|Powerledger,215928-28T|257911-57T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Electrify (Energy Traders and Brokers); status=Active; holding=Minority; since= | CompanyInvestorRelation: Powerledger; status=Active; holding=Minority; since=06/16/2022 | DealInvestorRelation: Electrify (Energy Traders and Brokers); deal=257911-57T; date=; type=Accelerator/Incubator; lead=No; fund= | DealInvestorRelation: Powerledger; deal=215928-28T; date=06/16/2022; type=Later Stage VC; lead=No; fund= | InvestorInvestmentRelation: Powerledger; deal=215928-28T; date=06/16/2022; type=Later Stage VC; co_investors=4 | InvestorInvestmentRelation: Electrify (Energy Traders and Brokers); deal=257911-57T; date=; type=Accelerator/Incubator; co_investors=
98454-52,Unshackled Ventures,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,9,2,3,1,1,468040-06|496120-42,Syndicate|Gopher AI,193469-59T|202569-22T|223068-79T,19721-62F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: Syndicate; status=Active; holding=Minority; since=04/11/2022 | CompanyInvestorRelation: Gopher AI; status=Active; holding=Minority; since=05/04/2021 | DealInvestorRelation: Gopher AI; deal=193469-59T; date=05/04/2021; type=Seed Round; lead=Yes; fund= | DealInvestorRelation: Gopher AI; deal=223068-79T; date=01/23/2024; type=Seed Round; lead=No; fund=Unshackled Ventures Fund III | DealInvestorRelation: Syndicate; deal=202569-22T; date=04/11/2022; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Gopher AI; deal=193469-59T; date=05/04/2021; type=Seed Round; co_investors=19 | InvestorInvestmentRelation: Syndicate; deal=202569-22T; date=04/11/2022; type=Early Stage VC (Series B); co_investors=20 | InvestorInvestmentRelation: Gopher AI; deal=223068-79T; date=01/23/2024; type=Seed Round; co_investors=13 | FundInvestmentRelation: Gopher AI; fund=Unshackled Ventures Fund III; deal=223068-79T; date=01/23/2024; status=Active Investment
267559-93,Unstoppable Domains,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,509132-08|562666-24,Starfish Finance|Highphen,204356-53T|250359-58T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Starfish Finance; status=Active; holding=Minority; since=10/13/2022 | CompanyInvestorRelation: Highphen; status=Active; holding=Minority; since=09/20/2022 | DealInvestorRelation: Starfish Finance; deal=250359-58T; date=10/13/2022; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Highphen; deal=204356-53T; date=09/20/2022; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: Starfish Finance; deal=250359-58T; date=10/13/2022; type=Early Stage VC; co_investors=21 | InvestorInvestmentRelation: Highphen; deal=204356-53T; date=09/20/2022; type=Seed Round; co_investors=4
435360-97,Untapped Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,9,3,3,0,0,481889-53|513142-75|551657-53,Pixels|Umoja|Swipelux,188575-21T|208188-46T|309490-57T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Pixels; status=Active; holding=Minority; since=02/03/2022 | CompanyInvestorRelation: Umoja; status=Active; holding=Minority; since=12/06/2021 | CompanyInvestorRelation: Swipelux; status=Active; holding=Minority; since=03/02/2022 | DealInvestorRelation: Pixels; deal=188575-21T; date=02/03/2022; type=Seed Round; lead=No; fund= | DealInvestorRelation: Umoja; deal=309490-57T; date=12/06/2021; type=Seed Round; lead=No; fund= | DealInvestorRelation: Swipelux; deal=208188-46T; date=03/02/2022; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: Swipelux; deal=208188-46T; date=03/02/2022; type=Seed Round; co_investors=3 | InvestorInvestmentRelation: Umoja; deal=309490-57T; date=12/06/2021; type=Seed Round; co_investors=9 | InvestorInvestmentRelation: Pixels; deal=188575-21T; date=02/03/2022; type=Seed Round; co_investors=7
42336-37,UOB Venture Management,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,118,38,41,6,1,102181-24|1154174-86|1158023-71|224304-85|226201-78|229983-49|265842-82|277738-75|462306-97|467944-12|471207-70|472208-05|472260-07|482283-19|489615-13|495556-12|495917-56|496124-56|496173-25|496480-24|497827-72|502818-40|503256-61|506726-65|519911-47|521080-12|529645-15|530130-52|539651-53|540697-60|541536-58|562665-70|572475-88|590470-03|616413-25|718225-30|894038-14|894130-75,Bluwhale|Scallop Labs|Evrynet|IXS (Financial Software)|Safe Labs|The Seeds|Solv (Financial Services)|Yield Guild Games|Fluence Network|Glacier Network|Protecc|Startale|zkPass|usdx.money|Pichi Finance|REPUBLIK|Polyhedra|Zypher Network|Mex Technology (Singapore)|Sonic|InvestaX|IOTA Foundation|Unagi (France)|W3GG|0xAdventure|TeaDAO|Marina Protocol|SkyArk Chronicles|Klink Finance|UXLINK|Particle Network|Amulet (Other Financial Services)|Vinci (Financial Software)|Pieverse|PIF Nation|XLD|FTX|Trac Network,179372-26T|180854-02T|182030-41T|184940-11T|188673-76T|191916-91T|192762-82T|193140-82T|195335-11T|199353-25T|199805-32T|200979-91T|201668-41T|203435-02T|215366-32T|216418-51T|227729-53T|232921-63T|245032-03T|245757-43T|247936-60T|248675-41T|248943-79T|249294-79T|249296-23T|250375-69T|253488-79T|254275-75T|260177-05T|260690-77T|260691-76T|261485-20T|268572-25T|273851-29T|278939-53T|284583-97T|292893-31T|300219-58T|300752-92T|310810-33T|311754-34T,23884-21F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: Bluwhale; status=Active; holding=Minority; since=10/22/2025 | CompanyInvestorRelation: Scallop Labs; status=Active; holding=Minority; since=03/03/2024 | CompanyInvestorRelation: Evrynet; status=Former; holding=Minority; since=09/01/2021 | CompanyInvestorRelation: IXS (Financial Software); status=Active; holding=Minority; since=08/01/2021 | CompanyInvestorRelation: Safe Labs; status=Active; holding=Minority; since=07/12/2022 | CompanyInvestorRelation: The Seeds; status=Active; holding=Minority; since=05/07/2024 | CompanyInvestorRelation: Solv (Financial Services); status=Active; holding=Minority; since=08/01/2023 | CompanyInvestorRelation: Yield Guild Games; status=Active; holding=Minority; since=12/23/2021 | CompanyInvestorRelation: Fluence Network; status=Active; holding=Minority; since=12/13/2021 | CompanyInvestorRelation: Glacier Network; status=Active; holding=Minority; since=11/13/2023 | CompanyInvestorRelation: Protecc; status=Active; holding=Minority; si
494197-39,Uon Investment,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,343490-50,MVL,188707-33T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: MVL; status=Active; holding=Minority; since=12/01/2022 | DealInvestorRelation: MVL; deal=188707-33T; date=12/01/2022; type=Later Stage VC; lead=No; fund= | InvestorInvestmentRelation: MVL; deal=188707-33T; date=12/01/2022; type=Later Stage VC (Series C); co_investors=
525479-14,Up Strategy Lab,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,484517-71|523126-27,Privasea|NuLink (Network Management Software),184357-00T|235063-27T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Privasea; status=Active; holding=Minority; since=01/12/2025 | CompanyInvestorRelation: NuLink (Network Management Software); status=Active; holding=Minority; since=07/01/2021 | DealInvestorRelation: NuLink (Network Management Software); deal=184357-00T; date=07/01/2021; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Privasea; deal=235063-27T; date=01/12/2025; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: NuLink (Network Management Software); deal=184357-00T; date=07/01/2021; type=Early Stage VC; co_investors=32 | InvestorInvestmentRelation: Privasea; deal=235063-27T; date=01/12/2025; type=Early Stage VC (Series A); co_investors=15
152302-51,UP2398,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,234116-02,Hub (Business/Productivity Software),113399-83T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Hub (Business/Productivity Software); status=Active; holding=Minority; since=06/01/2018 | DealInvestorRelation: Hub (Business/Productivity Software); deal=113399-83T; date=06/01/2018; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Hub (Business/Productivity Software); deal=113399-83T; date=06/01/2018; type=Early Stage VC; co_investors=23
343764-91,UP2B Accelerator,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,465910-75,b-cube.ai,287142-58T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: b-cube.ai; status=Active; holding=; since=01/01/2020 | DealInvestorRelation: b-cube.ai; deal=287142-58T; date=01/01/2020; type=Accelerator/Incubator; lead=No; fund= | InvestorInvestmentRelation: b-cube.ai; deal=287142-58T; date=01/01/2020; type=Accelerator/Incubator; co_investors=
63261-46,UPC Capital Ventures,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,231588-82,Energy Web,115945-84T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Energy Web; status=Active; holding=; since=09/01/2018 | DealInvestorRelation: Energy Web; deal=115945-84T; date=09/01/2018; type=Grant; lead=No; fund= | InvestorInvestmentRelation: Energy Web; deal=115945-84T; date=09/01/2018; type=Grant; co_investors=6
