InvestorID,InvestorName,current_task_index,PrimaryInvestorType,Website,normalized_domain,current_token_company_count,current_source_methods
550403-92,Ivan on Tech,1433,Angel (individual),,,8,company_investor_relation|deal_investor_relation|investor_investment_relation
482437-54,Bharat Krymo,1540,Angel (individual),,,7,company_investor_relation|deal_investor_relation|investor_investment_relation
156271-06,Kun Gao,1786,Angel (individual),,,6,company_investor_relation|deal_investor_relation|investor_investment_relation
502970-50,Weehodl,1855,Venture Capital,www.weehodl.com,weehodl.com,6,company_investor_relation|deal_investor_relation|investor_investment_relation
496306-18,Cronos Accelerator,1890,Accelerator/Incubator,cronos.org,cronos.org,5,company_investor_relation|deal_investor_relation|investor_investment_relation
495399-07,Hedera Foundation,1895,Limited Partner,www.hedera.foundation,hedera.foundation,5,company_investor_relation|deal_investor_relation|investor_investment_relation
470497-51,Black Ventures,1967,Family Office,www.blkvc.com,blkvc.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
507069-28,Desert Whales,1995,Venture Capital,www.desertwhales.com,desertwhales.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
769688-02,Funders,2016,Venture Capital,www.funders.vc,funders.vc,5,company_investor_relation|deal_investor_relation|investor_investment_relation
482500-72,GameStarter,2020,Accelerator/Incubator,www.gamestarter.com,gamestarter.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
229767-49,GX Chain,2026,VC-Backed Company,www.rei.network,rei.network,5,company_investor_relation|deal_investor_relation|investor_investment_relation
91510-66,Lanzadera Accelerator,2049,Accelerator/Incubator,www.lanzadera.es,lanzadera.es,5,company_investor_relation|deal_investor_relation|investor_investment_relation
462578-59,Moonchain Capital,2064,Venture Capital,www.moonchain.capital,moonchain.capital,5,company_investor_relation|deal_investor_relation|investor_investment_relation
482674-96,PKO Investments,2082,VC-Backed Company,www.pko.xyz,pko.xyz,5,company_investor_relation|deal_investor_relation|investor_investment_relation
509988-97,XDC Network,2131,PE-Backed Company,www.xinfin.org,xinfin.org,5,company_investor_relation|deal_investor_relation|investor_investment_relation
106598-89,Justin Waldron,2187,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
501583-33,The Operating Group,2202,Venture Capital,,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
519430-69,BORA CHAIN,2222,Venture Capital,www.boraportal.com,boraportal.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
490188-07,Funverse Capital,2224,Corporate Venture Capital,funverse.capital,funverse.capital,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
53920-36,Science,2235,Venture Capital,www.science-inc.com,science-inc.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
482724-28,Anypad,2260,VC-Backed Company,www.anypad.io,anypad.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
589223-89,Base (Financial Software),2273,Corporation,www.base.org,base.org,4,company_investor_relation|deal_investor_relation|investor_investment_relation
492791-68,Block Dojo,2282,Accelerator/Incubator,www.blockdojo.io,blockdojo.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
234230-14,Celer,2290,VC-Backed Company,www.celer.network,celer.network,4,company_investor_relation|deal_investor_relation|investor_investment_relation
149806-63,Ed3n Ventures,2344,Accelerator/Incubator,ed3n.ventures,ed3n.ventures,4,company_investor_relation|deal_investor_relation|investor_investment_relation
126198-10,Excalibur Capital,2353,Corporation,www.excaliburcapital.pl,excaliburcapital.pl,4,company_investor_relation|deal_investor_relation|investor_investment_relation
184998-97,Jeremy San,2395,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
226399-24,Kevin Chou,2407,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
481184-92,Moon Carl,2435,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
11263-96,Origin Ventures Group,2455,Venture Capital,www.originventures.com,originventures.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
279510-85,QU Ventures,2475,Venture Capital,www.qu-ventures.com,qu-ventures.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
493064-92,RADA,2476,Corporation,www.rada.ac.uk,rada.ac.uk,4,company_investor_relation|deal_investor_relation|investor_investment_relation
490834-45,Ready Player,2482,Corporation,www.readyplayerdao.io,readyplayerdao.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
494478-46,RIKX CAPITAL,2486,Venture Capital,rikxcapital.com,rikxcapital.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
493349-14,Three Lions Capital,2522,Venture Capital,www.3lions.capital,3lions.capital,4,company_investor_relation|deal_investor_relation|investor_investment_relation
431392-69,TokenPocket,2526,Venture Capital,www.tokenpocket.pro,tokenpocket.pro,4,company_investor_relation|deal_investor_relation|investor_investment_relation
439426-27,Frontier Wallet,2575,VC-Backed Company,www.frontier.xyz,frontier.xyz,3,company_investor_relation|deal_investor_relation|investor_investment_relation
463972-69,Z Venture Capital,2584,Corporate Venture Capital,zvc.vc,zvc.vc,3,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
500605-66,KaJ Labs,2621,Corporation,kajlabs.org,kajlabs.org,3,company_investor_relation|deal_investor_relation|investor_investment_relation
535210-75,MixMarvel DAO Venture,2629,Venture Capital,daoventure.mixmarvel.com,daoventure.mixmarvel.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
66198-97,Line Ventures,2654,Corporate Venture Capital,www.lineventurescorp.com,lineventurescorp.com,3,fund_investment_relation
230684-86,Oasis Labs,2693,VC-Backed Company,www.oasislabs.com,oasislabs.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
437343-76,100x Ventures,2702,Venture Capital,www.100x.group,100x.group,3,company_investor_relation|deal_investor_relation|investor_investment_relation
596074-42,Altcoin Sherpa,2736,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
55559-98,BBS Capital,2769,Real Estate,www.bbscapital.com,bbscapital.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
98210-98,BIP Ventures,2777,Venture Capital,www.bipventures.vc,bipventures.vc,3,company_investor_relation|deal_investor_relation|investor_investment_relation
279574-75,BitAsset,2779,Corporation,www.bitasset.com,bitasset.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
436788-19,Block Eco Fund,2782,Corporate Venture Capital,www.blockecofund.com,blockecofund.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
557008-48,Blocklogica Labs,2788,Accelerator/Incubator,www.blocklogica.io,blocklogica.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
607796-29,BuzzBridge Capital,2803,Venture Capital,www.buzzbridge.capital,buzzbridge.capital,3,company_investor_relation|deal_investor_relation|investor_investment_relation
56780-56,Byte Ventures,2805,Venture Capital,www.byteventures.com,byteventures.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
436709-17,Chingari,2819,VC-Backed Company,chingari.io,chingari.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
495995-86,Collective Ventures,2828,Venture Capital,www.collective-ventures.org,collective-ventures.org,3,company_investor_relation|deal_investor_relation|investor_investment_relation
502969-15,CRT Capital,2835,Corporate Venture Capital,,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
439304-86,CryptoGames,2838,Corporation,www.cryptogames.co.jp,cryptogames.co.jp,3,company_investor_relation|deal_investor_relation|investor_investment_relation
56901-16,Digital Magics,2864,Accelerator/Incubator,www.digitalmagics.com,digitalmagics.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
495420-40,Draper Blockchain Accelerator,2873,Accelerator/Incubator,,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
151431-04,Elevate Capital,2883,Venture Capital,www.elevate.vc,elevate.vc,3,company_investor_relation|deal_investor_relation|investor_investment_relation
503902-90,Epoch Ventures (Vietnam),2886,Venture Capital,www.epoch-ventures.com,epoch-ventures.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
753042-25,Faze Banks,2894,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
438622-12,FineWill Capital,2897,Venture Capital,finewillcap.com,finewillcap.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
540703-81,Flowers Equity Partners,2902,Family Office,www.flowersequitypartners.com,flowersequitypartners.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
63798-85,Gate Ventures (Asset Management),2922,Venture Capital,www.gateplc.com,gateplc.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
169936-66,Holly Liu,2951,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
515598-40,Hype.eth Hype.eth,2954,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
720306-91,ICP Indonesia,2956,Accelerator/Incubator,disruptives.io,disruptives.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
182452-15,Inv FinTech,2972,Accelerator/Incubator,,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
490928-05,Ivan Li,2978,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
615615-49,Layer-OTC,3009,Venture Capital,layer-otc.com,layer-otc.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
231581-08,London & Partners (London),3023,Accelerator/Incubator,www.grow.london,grow.london,3,company_investor_relation|deal_investor_relation|investor_investment_relation
462674-80,Maha (Financial Software),3032,VC-Backed Company,maha.xyz,maha.xyz,3,company_investor_relation|deal_investor_relation|investor_investment_relation
472189-24,Mars Ecosystem,3039,VC-Backed Company,www.marsecosystem.com,marsecosystem.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
442452-34,MathWallet,3042,VC-Backed Company,www.mathwallet.org,mathwallet.org,3,company_investor_relation|deal_investor_relation|investor_investment_relation
11120-86,Maven Capital Partners UK,3045,PE/Buyout,www.mavencp.com,mavencp.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
491728-78,Metabrands Ventures,3048,Venture Capital,www.metabrands.io,metabrands.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
438684-31,Michael Dunworth,3055,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
540756-10,Moneyture Ventures,3070,Venture Capital,www.moneyture.xyz,moneyture.xyz,3,company_investor_relation|deal_investor_relation|investor_investment_relation
493150-60,Moon Holdings Fund,3072,Venture Capital,,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
491241-61,Moonedge,3073,VC-Backed Company,www.moonedge.finance,moonedge.finance,3,company_investor_relation|deal_investor_relation|investor_investment_relation
60530-32,Nazara Technologies,3080,PE-Backed Company,www.nazara.com,nazara.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
470448-55,Olive Capital,3098,Angel Group,www.olivecapital.vc,olivecapital.vc,3,company_investor_relation|deal_investor_relation|investor_investment_relation
472054-51,OneSoft Game Studio,3101,Corporation,www.onesoft.com.vn,onesoft.com.vn,3,company_investor_relation|deal_investor_relation|investor_investment_relation
268483-33,OpenDoor Venture Capital,3104,Venture Capital,opendoorvc.com,opendoorvc.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
482589-91,Paperclip Partners,3115,Venture Capital,www.paperclip.partners,paperclip.partners,3,company_investor_relation|deal_investor_relation|investor_investment_relation
509226-31,Paragen,3116,Corporation,www.launchpad.paragen.io,launchpad.paragen.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
110032-57,Patrick Lee,3122,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
1230653-89,Philippe Masindet,3126,Angel (individual),philippemasindet.com,philippemasindet.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
591488-56,Phill Bonello,3127,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
502836-40,Playgrnd Ventures,3130,Venture Capital,www.playgrnd.ventures,playgrnd.ventures,3,company_investor_relation|deal_investor_relation|investor_investment_relation
507120-67,Playpad.,3131,Corporation,,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
481315-33,Prostarter,3145,Venture Capital,prostarter.io,prostarter.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
122048-74,QF Capital,3149,Venture Capital,www.qfvc.cn,qfvc.cn,3,company_investor_relation|deal_investor_relation|investor_investment_relation
495499-96,Real Deal Guild,3152,VC-Backed Company,www.realdealguild.io,realdealguild.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
58816-54,Rise Capital,3161,Venture Capital,www.risecapital.com,risecapital.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
522103-69,Robert Ferguson,3162,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
599997-34,Samurai Starter,3175,Corporation,www.samuraistarter.com,samuraistarter.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
482017-60,Sergej Kunz,3184,Angel (individual),,,3,company_investor_relation|deal_investor_relation|investor_investment_relation
494165-98,Sky Mavis,3192,VC-Backed Company,www.skymavis.com,skymavis.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
596666-89,Symbiote,3225,Accelerator/Incubator,symbiote.gg,symbiote.gg,3,company_investor_relation|deal_investor_relation|investor_investment_relation
510057-01,Tachyon Accelerator,3229,Accelerator/Incubator,tachyon.xyz,tachyon.xyz,3,company_investor_relation|deal_investor_relation|investor_investment_relation
439806-88,UniLend Finance,3269,VC-Backed Company,www.unilend.finance,unilend.finance,3,company_investor_relation|deal_investor_relation|investor_investment_relation
503214-94,Vitex Capital,3280,Venture Capital,vitex.capital,vitex.capital,3,company_investor_relation|deal_investor_relation|investor_investment_relation
500806-45,vndc stablecoin,3281,Other,www.vndc.io,vndc.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
266239-54,Welight Capital,3288,Venture Capital,Www.welightcapital.com,welightcapital.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
467213-59,WePlay Ventures,3290,Venture Capital,www.weplayventures.com,weplayventures.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
489497-32,YAY Network,3298,Other,www.yay.network,yay.network,3,company_investor_relation|deal_investor_relation|investor_investment_relation
503440-39,Panda Capital (China),3313,Venture Capital,www.pandacapital.io,pandacapital.io,3,company_investor_relation|deal_investor_relation|investor_investment_relation
51365-62,European Union,3315,Government,www.europa.eu,europa.eu,3,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
53975-26,High-Tech Gründerfonds,3328,Venture Capital,www.htgf.de,htgf.de,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
82987-75,Ascension,3335,Venture Capital,www.ascension.vc,ascension.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
61277-14,Starta Ventures,3367,Accelerator/Incubator,starta.vc,starta.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
489010-60,01 Capital,3370,Corporation,www.01capital.co.uk,01capital.co.uk,2,company_investor_relation|deal_investor_relation|investor_investment_relation
121141-54,Acceleration Business City,3373,Accelerator/Incubator,www.abc-accelerator.com,abc-accelerator.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
56774-62,dPixel,3390,Accelerator/Incubator,www.dpixel.it,dpixel.it,2,company_investor_relation|deal_investor_relation|investor_investment_relation
510041-53,Fera Capital,3395,Venture Capital,www.feradao.vc,feradao.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation
459122-32,First Check Ventures,3396,Venture Capital,www.firstcheckventures.com,firstcheckventures.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
978567-31,Hello Labs,3400,Accelerator/Incubator,www.hello.one,hello.one,2,company_investor_relation|deal_investor_relation|investor_investment_relation
490998-43,Idoresearch.Ventures,3405,Venture Capital,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
332407-09,Moonfire,3417,Venture Capital,www.moonfire.com,moonfire.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
752947-12,Redline Lab,3425,Venture Capital,www.redlinelab.io,redlinelab.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
184841-47,Seoul National University Technology Holdings,3429,Accelerator/Incubator,www.snuholdings.com,snuholdings.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
266152-42,3VC,3459,Venture Capital,www.three.vc,three.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
124909-57,Avalancha Ventures,3461,Venture Capital,www.avalancha.ventures,avalancha.ventures,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
454352-23,Crossbeam Venture Partners,3466,Venture Capital,www.crossbeam.vc,crossbeam.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
466071-13,Eoniq Fund,3468,Venture Capital,eoniq.fund,eoniq.fund,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
459033-94,Launch Africa Ventures,3475,Venture Capital,www.launchafrica.vc,launchafrica.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
50980-69,Lerer Hippeau,3477,Venture Capital,www.lererhippeau.com,lererhippeau.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
54540-82,Silicon Badia,3486,Venture Capital,www.siliconbadia.com,siliconbadia.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
268226-38,Startupfon,3488,Venture Capital,www.startupfon.com,startupfon.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
54197-38,Blume Venture Advisors,3503,Venture Capital,www.blume.vc,blume.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
53788-78,Boldstart Ventures,3504,Venture Capital,www.boldstart.vc,boldstart.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
187651-45,Bonfire Ventures,3505,Venture Capital,www.bonfirevc.com,bonfirevc.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
228235-69,Boğaziçi Ventures,3506,Venture Capital,www.bogaziciventures.com/en,bogaziciventures.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
327121-93,BRI Ventures,3507,Corporate Venture Capital,briventures.id,briventures.id,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
11208-16,Hearst Ventures,3521,Corporate Venture Capital,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
43567-30,Searchlight (Asset Management),3537,PE/Buyout,www.searchlightcap.com,searchlightcap.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
129192-94,Shanda (Private Equity),3539,PE/Buyout,www.shanda.com,shanda.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
55384-93,Startup Wise Guys,3543,Venture Capital,www.startupwiseguys.com,startupwiseguys.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
521060-23,Syndicate Capital Group,3547,Venture Capital,www.syndicatecapital.com,syndicatecapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
277319-62,100X.VC,3564,Venture Capital,www.100x.vc,100x.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation
438004-81,1inch,3567,VC-Backed Company,1inch.com,1inch.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
484545-43,2CrazyNFT,3570,VC-Backed Company,www.2crazynft.com,2crazynft.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
265528-72,A&Z Capital,3582,Venture Capital,www.yl.link,yl.link,2,company_investor_relation|deal_investor_relation|investor_investment_relation
502970-14,ABGA,3583,Corporation,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
222836-14,Accelerator Frankfurt,3586,Accelerator/Incubator,www.acceleratorfrankfurt.com,acceleratorfrankfurt.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
495910-63,Acestarter,3587,Venture Capital,www.dapp.acestarter.finance,dapp.acestarter.finance,2,company_investor_relation|deal_investor_relation|investor_investment_relation
112370-77,Alex Lin,3605,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
471871-72,All In Ventures,3613,Venture Capital,www.aiv.fund,aiv.fund,2,company_investor_relation|deal_investor_relation|investor_investment_relation
437341-78,Altergate Fund,3626,Venture Capital,www.altergate.vc,altergate.vc,2,company_investor_relation|deal_investor_relation|investor_investment_relation
104872-06,Amazon Web Services,3630,Corporation,www.aws.amazon.com,aws.amazon.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
268147-45,Amplio Ventures,3635,Venture Capital,www.amplioventures.com,amplioventures.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
499900-24,Anthony Beaumont,3642,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
819209-89,Arbitrum Gaming Ventures,3650,Venture Capital,arbitrumgamingventures.com,arbitrumgamingventures.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
106093-45,Ariel Arrieta,3655,Angel (individual),ArielArrieta.com,arielarrieta.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
433734-13,ARPA,3658,VC-Backed Company,www.arpanetwork.io,arpanetwork.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
513171-46,ArthSwap,3659,VC-Backed Company,app.arthswap.org,app.arthswap.org,2,company_investor_relation|deal_investor_relation|investor_investment_relation
481964-77,Arthur Cheong,3660,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
507292-48,Astrapto Capital,3666,Venture Capital,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
152292-52,Aura Group,3674,VC-Backed Company,www.aura.co,aura.co,2,company_investor_relation|deal_investor_relation|investor_investment_relation
64508-05,Avalanche Insights,3684,Corporation,www.avalancheinsights.com,avalancheinsights.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
327465-28,Axie Infinity,3694,VC-Backed Company,axieinfinity.com,axieinfinity.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
166853-53,Beijing Weilie Capital Management Consulting,3721,Venture Capital,www.whcap.net,whcap.net,2,company_investor_relation|deal_investor_relation|investor_investment_relation
490909-15,Bharat Founders Fund,3730,Venture Capital,www.bharatfoundersfund.com,bharatfoundersfund.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
222948-01,Big Bang | Startup Challenge,3733,Accelerator/Incubator,bigbang.itucekirdek.com,bigbang.itucekirdek.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
436936-78,Bill Shihara,3735,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
708106-78,BitcoinFi Accelerator,3742,Accelerator/Incubator,bitcoinfi.network,bitcoinfi.network,2,company_investor_relation|deal_investor_relation|investor_investment_relation
541355-41,Bitfund,3744,Corporation,www.bitfund.co.za,bitfund.co.za,2,company_investor_relation|deal_investor_relation|investor_investment_relation
463214-08,Bitget Wallet,3745,Corporation,web3.bitget.com,web3.bitget.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
465539-41,BK Capital.,3750,Corporation,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
597146-05,BlockBooster,3758,Venture Capital,www.blockbooster.io,blockbooster.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
690894-55,Blockbridge Digital,3759,Accelerator/Incubator,www.blockbridge.xyz,blockbridge.xyz,2,company_investor_relation|deal_investor_relation|investor_investment_relation
234870-13,Blockventures,3770,Corporation,www.xbv.io,xbv.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
732042-55,Blocmates,3771,Corporation,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
703896-49,BONK (Financial Software),3776,Corporation,www.bonkcoin.com,bonkcoin.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
459150-40,Bridge.v2,3788,VC-Backed Company,www.bridgemutual.io,bridgemutual.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
287913-79,Brink Asset,3791,Corporation,www.brinkasset.com,brinkasset.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
515933-20,BSCGems Ventures,3795,Venture Capital,www.bscgems.ventures,bscgems.ventures,2,company_investor_relation|deal_investor_relation|investor_investment_relation
61486-84,Bukalapak,3801,Holding Company,www.bukalapak.com,bukalapak.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
466079-77,Bullish (GI),3802,Corporation,www.bullish.com,bullish.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
497460-97,Buono Investment Club Capital,3803,PE/Buyout,www.bic-capital.com,bic-capital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
277885-81,Byzantium Capital,3806,Venture Capital,www.byzantium.cc,byzantium.cc,2,company_investor_relation|deal_investor_relation|investor_investment_relation
153947-17,C2 Ventures,3809,Venture Capital,www.c2ventures.co,c2ventures.co,2,company_investor_relation|deal_investor_relation|investor_investment_relation
439860-88,Carlos Rodriguez-Aspirichaga,3817,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
181241-74,CDI Capital,3821,Venture Capital,cdicapital.co.za,cdicapital.co.za,2,company_investor_relation|deal_investor_relation|investor_investment_relation
469639-63,Celo Camp,3824,Accelerator/Incubator,www.celocamp.com,celocamp.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
231135-31,Central Investment Partners,3827,Venture Capital,www.cipartners.co.kr,cipartners.co.kr,2,company_investor_relation|deal_investor_relation|investor_investment_relation
530095-69,Chain Financial,3832,Venture Capital,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
495602-47,ChainBoost,3834,Accelerator/Incubator,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
232193-62,ChainPE,3836,Venture Capital,www.chainpe.com,chainpe.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
501606-82,Chainview Capital,3837,Hedge Fund,www.chainviewcapital.com,chainviewcapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
533037-52,Chappyz,3842,VC-Backed Company,www.chappyz.com,chappyz.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
109718-56,Christopher Chan,3852,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
484465-15,Chung Ying Investment Development Company,3854,Asset Manager,www.gains.com.tw,gains.com.tw,2,company_investor_relation|deal_investor_relation|investor_investment_relation
224497-27,Cianna Capital,3855,Venture Capital,www.ciannacapital.com,ciannacapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
222304-51,Coffin Capital & Ventures,3864,Venture Capital,coffincapital.co,coffincapital.co,2,company_investor_relation|deal_investor_relation|investor_investment_relation
98862-49,CoinPayments,3869,VC-Backed Company,www.coinpayments.net,coinpayments.net,2,company_investor_relation|deal_investor_relation|investor_investment_relation
232173-01,Combo Network,3876,VC-Backed Company,www.combonetwork.io,combonetwork.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
166201-48,Contrary (San Francisco),3881,Venture Capital,www.contrary.com,contrary.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
608767-03,County Capital,3890,Corporation,www.county.capital,county.capital,2,company_investor_relation|deal_investor_relation|investor_investment_relation
443326-51,Crust Network,3895,VC-Backed Company,www.crust.network,crust.network,2,company_investor_relation|deal_investor_relation|investor_investment_relation
481612-51,Crypto Global United,3898,VC-Backed Company,www.cgu.io,cgu.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
495604-81,Crypto nation,3900,Venture Capital,crypto-nation.io,crypto-nation.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
519748-48,CryptoChecker,3904,Corporation,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
472338-10,CryptoLeagues,3906,Corporation,www.cryptoleagues.io,cryptoleagues.io,2,company_investor_relation|deal_investor_relation|investor_investment_relation
484843-96,CyberX,3914,VC-Backed Company,www.cyberx.com,cyberx.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
