InvestorID,InvestorName,current_task_index,PrimaryInvestorType,Website,normalized_domain,current_token_company_count,current_source_methods
493008-94,Woojin Lim,4913,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
503455-42,Xantus Network,4922,Corporation,www.xantus.network,xantus.network,2,company_investor_relation|deal_investor_relation|investor_investment_relation
170796-43,Xsolla Capital,4925,Venture Capital,xsollacapital.com,xsollacapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
459547-66,Yi Luo,4933,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
11339-56,York Street Capital Partners,4939,PE/Buyout,www.yorkstreetcapital.com,yorkstreetcapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
464333-68,Zee Zheng,4945,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
620190-37,Zeneca,4947,Corporation,,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
509212-54,Zhen Cao,4951,Angel (individual),,,2,company_investor_relation|deal_investor_relation|investor_investment_relation
498152-44,zkLink,4954,Corporation,www.zk.link,zk.link,2,company_investor_relation|deal_investor_relation|investor_investment_relation
166388-77,Zone Startups India,4956,Accelerator/Incubator,india.zonestartups.com,india.zonestartups.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
10945-00,CB Capital Partners,4957,Investment Bank,www.cbcapital.com,cbcapital.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
510771-88,Qiming Venture Partners USA,4970,Venture Capital,www.qimingvcusa.com,qimingvcusa.com,2,fund_investment_relation
51252-85,Vox Media,4982,VC-Backed Company,www.voxmedia.com,voxmedia.com,2,company_investor_relation|deal_investor_relation|investor_investment_relation
60978-97,Angels Capital,4986,Angel Group,www.angelscapital.es,angelscapital.es,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
40996-63,U.S. Department of Energy,4992,Government,www.energy.gov,energy.gov,1,company_investor_relation|deal_investor_relation|investor_investment_relation
497613-43,VC Sila,4993,Accelerator/Incubator,vcsila.com,vcsila.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
56829-97,Bowery Capital,4994,Venture Capital,www.bowerycap.com,bowerycap.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
11261-89,Crosslink Capital,4996,Venture Capital,www.crosslinkcapital.com,crosslinkcapital.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
10634-68,Truffle Capital,5001,Venture Capital,www.truffle.com,truffle.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
42371-29,Bangkok Bank,5003,Investment Bank,www.bangkokbank.com.my,bangkokbank.com.my,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
483824-08,Extension Fund,5004,Venture Capital,www.extensionfund.com,extensionfund.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
182137-42,Intudo Ventures,5005,Venture Capital,www.intudovc.com,intudovc.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
169489-99,Sarmayacar,5007,Venture Capital,www.sarmayacar.com,sarmayacar.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
10078-21,Bain & Company,5009,Corporation,www.bain.com,bain.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
227482-66,CareLabs (Business/Productivity Software),5011,Corporation,www.carelabs.co.kr,carelabs.co.kr,1,company_investor_relation|deal_investor_relation|investor_investment_relation
593418-34,Core 4 Capital,5013,Corporation,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
154615-24,CTBC Venture Capital,5014,Corporate Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
