InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
491457-79,Altari Ventures,rule_b_only_added,no,yes,,4579,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,altariventures.com,altariventures.com
338612-41,Alternate Ventures,rule_b_only_added,no,yes,,4584,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
455221-63,Alua Capital,rule_b_only_added,no,yes,,4589,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,aluacapital.com,aluacapital.com
11109-61,Amadeus Capital Partners,rule_b_only_added,no,yes,,4594,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.amadeuscapital.com,amadeuscapital.com
463354-48,Amino Collective,rule_b_only_added,no,yes,,4607,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aminocollective.com,aminocollective.com
233906-95,Amplifyher Ventures,rule_b_only_added,no,yes,,4063,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.amplifyherventures.com,amplifyherventures.com
436255-03,Anchor Capital GP,rule_b_only_added,no,yes,,4622,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Growth/Expansion,www.anchorcapitalgp.com,anchorcapitalgp.com
224383-69,Andra Capital,rule_b_only_added,no,yes,,4625,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.andracapital.com,andracapital.com
105863-23,Andrew Dunn,rule_b_only_added,no,yes,,4633,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
500935-78,Angelo Tagliabue,rule_b_only_added,no,yes,,4652,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
105880-24,Anthony Saleh,rule_b_only_added,no,yes,,4667,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
503343-73,Anthony Verdone,rule_b_only_added,no,yes,,4668,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
747973-09,Anuj Shankar,rule_b_only_added,no,yes,,4677,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
484796-44,Aquila Capital Partners,rule_b_only_added,no,yes,,4692,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aquilavc.com,aquilavc.com
65036-08,Archangel (New York),rule_b_only_added,no,yes,,3851,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel Group,,
57992-41,Arctic Ventures,rule_b_only_added,no,yes,,4704,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,arcticventures.vc,arcticventures.vc
484542-10,Armyn Capital,rule_b_only_added,no,yes,,4725,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.armyn.capital,armyn.capital
179595-55,Arthur Britto,rule_b_only_added,no,yes,,4731,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
494580-43,Ascent Advisors,rule_b_only_added,no,yes,,4736,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.ascentadvisors.org,ascentadvisors.org
495689-59,Asobisystem,rule_b_only_added,no,yes,,4747,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,asobisystem.com,asobisystem.com
59319-28,ASX,rule_b_only_added,no,yes,,3783,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.asx.com.au,asx.com.au
528201-46,Atlant Ventures,rule_b_only_added,no,yes,,4771,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atlantventures.com,atlantventures.com
64133-20,Axel Springer Plug and Play Accelerator,rule_b_only_added,no,yes,,4822,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.axelspringerplugandplay.com,axelspringerplugandplay.com
