InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
96222-61,Asteria,intersection,yes,yes,6307,4754,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.asteria.com,asteria.com
509101-57,Asteria Vision Fund,intersection,yes,yes,6308,4755,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,www.asteriavisionfund.com,asteriavisionfund.com
484631-38,Asteroid Capital,intersection,yes,yes,492,902,25,9,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,asteroidcapital.io,asteroidcapital.io
503011-45,Asteroid Ventures,intersection,yes,yes,1721,4756,6,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,asteroid.ventures,asteroid.ventures
55334-17,Astia,intersection,yes,yes,3665,4757,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.astia.org,astia.org
433814-05,Astir Ventures,intersection,yes,yes,1237,960,9,8,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.astir.vc,astir.vc
168933-16,Astralabs,intersection,yes,yes,1066,2106,11,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.astralabs.com,astralabs.com
533072-44,Astrarizon,intersection,yes,yes,6313,4758,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
741818-53,Astrarizon Ventures,intersection,yes,yes,1278,994,9,8,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.astrarizon.com,astrarizon.com
621847-09,AstraX Capital,intersection,yes,yes,3667,4759,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.astraxcapital.com,astraxcapital.com
436005-82,Astronaut Capital,intersection,yes,yes,519,444,24,18,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.astronaut.capital,astronaut.capital
493060-42,AstroV Ventures,intersection,yes,yes,2754,4760,3,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,astrov.ventures,astrov.ventures
540849-34,Asva Ventures,intersection,yes,yes,660,903,19,9,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,asva.capital,asva.capital
470928-52,Asymm Ventures,intersection,yes,yes,1722,1476,6,5,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
507067-12,Asymmetric Fund,intersection,yes,yes,787,555,16,15,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Hedge Fund,www.asymmetric.financial,asymmetric.financial
490697-38,Asymmetric Technologies,intersection,yes,yes,3668,4761,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,PE-Backed Company,www.asymmetric.com,asymmetric.com
523062-28,Asymmetric Ventures,intersection,yes,yes,6317,4762,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
465616-90,Asymmetries Funds,intersection,yes,yes,6318,4763,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
507177-28,Asymmetry Capital,intersection,yes,yes,1392,1698,8,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.asymmetry-capital.com,asymmetry-capital.com
282399-49,Asymmetry Capital Management,intersection,yes,yes,3669,4764,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,asymmetrycapitalmanagement.com,asymmetrycapitalmanagement.com
459064-45,Asymmetry Ventures,intersection,yes,yes,1881,2611,5,2,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.asymmetry.vc,asymmetry.vc
731957-77,Async Capital,intersection,yes,yes,836,829,15,10,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.asynccapital.org,asynccapital.org
122870-26,Atacama Ventures,intersection,yes,yes,6319,4765,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atacamaventures.com,atacamaventures.com
42212-08,ATEL Capital Group,intersection,yes,yes,5375,4071,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Asset Manager,atel.com,atel.com
458555-50,Atelier Ventures,intersection,yes,yes,3498,4766,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atelierventures.co,atelierventures.co
339858-28,Ateliesi Capital,intersection,yes,yes,6322,4767,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atlascap.com.cn,atlascap.com.cn
523261-00,ATEN Club,intersection,yes,yes,6323,4768,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
484697-80,Atesis Capital,intersection,yes,yes,443,681,27,12,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,www.atesis.vc,atesis.vc
484405-12,Athena Ventures,intersection,yes,yes,613,1263,20,6,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.vcathena.com,vcathena.com
229496-50,Atieh Capital,intersection,yes,yes,6328,4769,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.atiehcapital.com,atiehcapital.com
10594-72,Atinum Investment,intersection,yes,yes,3670,2547,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atinuminvest.co.kr,atinuminvest.co.kr
471892-69,Atka,intersection,yes,yes,1150,1090,10,7,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.atka.io,atka.io
711754-48,Atlan Tutar,intersection,yes,yes,6330,4770,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
56387-35,Atlantic (Berlin),intersection,yes,yes,2607,1976,3,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,atlantic.vc,atlantic.vc
11941-75,Atlantic Bridge Capital,intersection,yes,yes,5058,3821,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Growth/Expansion,www.abven.com,abven.com
437934-88,Atlantis,intersection,yes,yes,6334,4772,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.atlantistech.co,atlantistech.co
518257-27,Atlas Benjelloun,intersection,yes,yes,6335,4773,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
222987-61,Atlas Capital,intersection,yes,yes,3671,4774,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Mutual Fund,www.atlascapital.ch,atlascapital.ch
490232-17,Atlas Digital Entertainment,intersection,yes,yes,6337,4775,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,,
495622-45,Atlas Fund,intersection,yes,yes,3672,3800,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.atlasfunds.com,atlasfunds.com
540002-62,Atlas InsurTech,intersection,yes,yes,6338,4776,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atlasinsurtech.com,atlasinsurtech.com
61433-92,Atlas Merchant Capital,intersection,yes,yes,5377,4072,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,PE/Buyout,www.atlasmerchantcapital.com,atlasmerchantcapital.com
756075-43,ATOM Accelerator,intersection,yes,yes,6339,4777,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.atomaccelerator.com,atomaccelerator.com
522849-70,Atom Capital (Beijing),intersection,yes,yes,6340,4778,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atomcapital.xyz,atomcapital.xyz
503493-49,Atom CTO,intersection,yes,yes,6341,4779,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.atomcto.com,atomcto.com
554149-99,Atom Expeditions,intersection,yes,yes,6342,4780,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,atomexpeditions.com,atomexpeditions.com
40732-48,Atomico,intersection,yes,yes,5378,4073,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.atomico.com,atomico.com
267519-79,Atopia Capital,intersection,yes,yes,1537,1124,7,7,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atopiacap.com,atopiacap.com
517644-64,Atria Ventures,intersection,yes,yes,6344,4781,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.atria.vc,atria.vc
530529-04,Attention Ventures,intersection,yes,yes,2755,2107,3,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.attcap.com,attcap.com
467221-33,Attestant,intersection,yes,yes,6345,4782,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.attestant.io,attestant.io
439457-77,au21,intersection,yes,yes,1723,2108,6,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
439861-60,AU21 Capital,intersection,yes,yes,1,2,279,168,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.au21.capital,au21.capital
465552-73,AUBMES Invest,intersection,yes,yes,6347,4783,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel Group,www.aubmes.at,aubmes.at
471860-92,Audacity Fund,intersection,yes,yes,3673,4784,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,audacityassets.com,audacityassets.com
184584-79,Audible Ventures,intersection,yes,yes,6352,4785,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.audibleventures.co,audibleventures.co
228161-71,Augment Partners,intersection,yes,yes,13936,10338,1,1,company_investor_relation,company_investor_relation,Corporation,www.augmentpartners.com,augmentpartners.com
52588-54,Augment Ventures,intersection,yes,yes,3330,3764,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.augmentventures.com,augmentventures.com
43308-91,Augmentum Fintech,intersection,yes,yes,5379,4074,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.augmentum.vc,augmentum.vc
528931-63,Augusta (France),intersection,yes,yes,6354,4786,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,www.augusta.co,augusta.co
99782-56,Augusta Ventures,intersection,yes,yes,6355,4787,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,PE-Backed Company,www.augustaventures.com,augustaventures.com
527848-39,Augustas Staras,intersection,yes,yes,6356,4788,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
571641-31,Aulis Ventures,intersection,yes,yes,479,521,26,16,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,aulis.ventures,aulis.ventures
532513-09,Ault Krug Partners,intersection,yes,yes,2265,1699,4,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aultkrug.com,aultkrug.com
399044-80,Aura Finance,intersection,yes,yes,6357,4789,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.aurafinance.co.uk,aurafinance.co.uk
538969-78,Aurea Finvest,intersection,yes,yes,5380,4075,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Real Estate,www.aureafinvest.com.br,aureafinvest.com.br
454549-24,Aurel Iancu,intersection,yes,yes,3675,2785,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
510610-15,Aureli Ventures,intersection,yes,yes,2266,2109,4,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aureliventures.com,aureliventures.com
439779-88,Aurelia Ventures,intersection,yes,yes,3676,2786,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,aureliaventures.com,aureliaventures.com
519724-54,Aurelius Global,intersection,yes,yes,6358,4790,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Family Office,aurelius.global,aurelius.global
493797-34,Aurigami,intersection,yes,yes,3677,4791,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.aurigami.finance,aurigami.finance
491772-61,Aurin Investment Group,intersection,yes,yes,3678,2787,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,,
624216-25,Aurion Capital,intersection,yes,yes,6359,4792,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,aurioncapital.com,aurioncapital.com
521979-67,Auros (Financial Software),intersection,yes,yes,1954,2110,5,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.auros.global,auros.global
595810-72,Auros Ventures,intersection,yes,yes,1955,2111,5,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,,
512880-22,Aurum Venture Partners,intersection,yes,yes,6362,4793,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aurumventurepartners.vc,aurumventurepartners.vc
484574-41,Aurumsy,intersection,yes,yes,2756,2788,3,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aurumsy.com,aurumsy.com
454843-72,Auryn Macmillan,intersection,yes,yes,3679,2789,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
465618-34,Aussie Capital,intersection,yes,yes,502,606,25,14,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aussie.capital,aussie.capital
503497-45,Austin Federa,intersection,yes,yes,1956,1700,5,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
277760-71,Austin Green,intersection,yes,yes,6365,4794,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
496464-40,Austin King,intersection,yes,yes,6366,4795,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
460135-18,Austin Spires,intersection,yes,yes,6367,4796,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
482295-97,Australian Gulf Capital,intersection,yes,yes,1957,2112,5,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.ausgulf.com,ausgulf.com
229649-50,Ausum Ventures,intersection,yes,yes,2267,1701,4,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.ausum.vc,ausum.vc
343246-51,Ausvic Capital,intersection,yes,yes,1393,1125,8,7,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.ausviccapital.com,ausviccapital.com
279680-41,Authorito,intersection,yes,yes,6370,4797,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.authorito.com,authorito.com
600014-71,Autistic Waterfowl Venture Capital,intersection,yes,yes,6371,4798,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
265266-28,Autobot Capital Partners,intersection,yes,yes,6373,4799,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.autobotvc.com,autobotvc.com
471829-24,AutoFarm Network,intersection,yes,yes,6374,4800,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.autofarm.network,autofarm.network
500023-72,Automatic Venture Group,intersection,yes,yes,43,154,123,38,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,avgroup.fund,avgroup.fund
493020-28,Automota Network,intersection,yes,yes,6377,4801,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
294502-60,Autonomous Partners (ASP),intersection,yes,yes,6378,4802,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
132646-51,Autonomy Capital,intersection,yes,yes,1504,1233,7,6,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,www.autonomycapital.com,autonomycapital.com
466026-13,Autonomy Capital (Malta),intersection,yes,yes,560,607,22,14,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.autonomy.capital,autonomy.capital
183847-87,Autonomy Ventures,intersection,yes,yes,3680,2790,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.autonomyventures.com,autonomyventures.com
61418-80,Auxitex,intersection,yes,yes,6379,4803,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,auxitex.com,auxitex.com
467108-38,Ava capital,intersection,yes,yes,1724,1702,6,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Real Estate,www.avacapital.org,avacapital.org
496246-78,AVA Capital Finance,intersection,yes,yes,2757,2791,3,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avacapital.finance,avacapital.finance
267522-40,Ava Labs,intersection,yes,yes,376,500,30,16,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.avalabs.org,avalabs.org
589095-19,Avail (Software Development Applications),intersection,yes,yes,3681,2792,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.availproject.org,availproject.org
497929-60,AvaLabs Ecosystem Fund,intersection,yes,yes,3682,4804,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
820413-37,Avalanche,intersection,yes,yes,2172,1627,4,4,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.avax.network,avax.network
539798-77,Avalanche Foundation,intersection,yes,yes,3683,2793,2,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
108098-92,Avalanche Investments,intersection,yes,yes,1538,2794,7,2,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
471731-14,Avalaunch,intersection,yes,yes,744,995,17,8,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.avalaunch.app,avalaunch.app
503221-69,Avalon (Entertainment Software),intersection,yes,yes,6381,4805,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.playavalon.com,playavalon.com
484393-33,Avalon Wealth Club,intersection,yes,yes,113,322,70,24,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avalonwealthclub.com,avalonwealthclub.com
596660-50,Avangard Capital,intersection,yes,yes,1279,1275,9,6,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avangard.capital,avangard.capital
532926-01,Avant Capital (Grand Cayman),intersection,yes,yes,3685,4806,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avant.fund,avant.fund
167024-62,Avant Global,intersection,yes,yes,6382,4807,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.avantglobal.com,avantglobal.com
472425-94,Avatar Avalanche Asia Star Fund,intersection,yes,yes,869,961,14,8,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,avaxavatar.com,avaxavatar.com
522455-23,AvatarDAO,intersection,yes,yes,1539,2113,7,3,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avatardao.vc,avatardao.vc
517918-15,AVCF,intersection,yes,yes,5381,4076,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,,
60821-11,AVentures Capital,intersection,yes,yes,3686,4808,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aventurescapital.com,aventurescapital.com
490681-54,AVentures DAO,intersection,yes,yes,623,904,20,9,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,aventures-site.webflow.io,aventures-site.webflow.io
509946-22,Averagemen vc,intersection,yes,yes,2758,4809,3,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.averagemen.vc,averagemen.vc
590667-13,Avery Ching,intersection,yes,yes,3687,4810,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
459054-28,Aves Lair,intersection,yes,yes,1234,956,9,8,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.aveslair.com,aveslair.com
233074-63,Avestar Capital,intersection,yes,yes,6386,4811,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.avestarcapital.com,avestarcapital.com
54551-17,AVG Ventures,intersection,yes,yes,3688,4812,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
463150-36,Avi Felman,intersection,yes,yes,3689,4813,2,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
222965-56,Avichal Garg,intersection,yes,yes,1725,1276,6,6,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),www.avichal.com,avichal.com
540740-26,AVID3,intersection,yes,yes,1151,809,10,10,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avid3.xyz,avid3.xyz
494347-24,Avinash Shekhar,intersection,yes,yes,6388,4814,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
489749-59,Avior Ventures,intersection,yes,yes,6389,4815,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
483773-05,Avisa Ventures,intersection,yes,yes,2268,4816,4,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.avisaventures.com,avisaventures.com
462362-77,Avish Bhama,intersection,yes,yes,6390,4817,1,1,company_investor_relation|deal_investor_relation|investor_investment_relation,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
