InvestorID,InvestorName,source_methods,source_count,token_company_count,deal_count,lead_deal_count,fund_count,token_company_ids,token_company_names,deal_ids,fund_ids,matched_keywords,matched_columns,context
521199-01,Cabrit Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,458401-96|537926-86,Reneum|Zest Protocol (Financial Service)),199223-29T|259239-61T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Reneum; status=Active; holding=Minority; since=02/18/2022 | CompanyInvestorRelation: Zest Protocol (Financial Service)); status=Active; holding=Minority; since=05/23/2024 | DealInvestorRelation: Zest Protocol (Financial Service)); deal=259239-61T; date=05/23/2024; type=Seed Round; lead=No; fund= | DealInvestorRelation: Reneum; deal=199223-29T; date=02/18/2022; type=Grant; lead=No; fund= | InvestorInvestmentRelation: Reneum; deal=199223-29T; date=02/18/2022; type=Grant; co_investors=1 | InvestorInvestmentRelation: Zest Protocol (Financial Service)); deal=259239-61T; date=05/23/2024; type=Seed Round; co_investors=15
460082-44,Cadenza Capital,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,37,10,12,1,2,399152-26|436152-43|458692-39|458733-79|459165-61|462533-14|464214-16|466071-49|466641-73|483798-16,Tibles|DexGuru|Aurox (Financial Software)|Zignaly|Hashflow|On RE|Titan (Business/Productivity Software)|Injective|Credmark|Zebec Network,140604-94T|165019-69T|165264-85T|165299-41T|165342-88T|169682-14T|170749-36T|172071-55T|172508-23T|183152-17T|183309-04T|188577-64T,18809-38F|18812-26F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: Tibles; status=Active; holding=Minority; since=12/16/2021 | CompanyInvestorRelation: DexGuru; status=Active; holding=Minority; since=04/20/2021 | CompanyInvestorRelation: Aurox (Financial Software); status=Active; holding=Minority; since=02/16/2022 | CompanyInvestorRelation: Zignaly; status=Active; holding=Minority; since=03/31/2021 | CompanyInvestorRelation: Hashflow; status=Active; holding=Minority; since=04/30/2021 | CompanyInvestorRelation: On RE; status=Active; holding=Minority; since=01/20/2021 | CompanyInvestorRelation: Titan (Business/Productivity Software); status=Active; holding=Minority; since=03/23/2021 | CompanyInvestorRelation: Injective; status=Active; holding=Minority; since=07/29/2020 | CompanyInvestorRelation: Credmark; status=Active; holding=Minority; since=04/01/2020 | CompanyInvestorRelation: Zebec Network; status=Active; holding=Minority; since=11/10/2021 | DealInvestorRelation: Aurox (Financial Software); deal=188577-64T; date=02/16/2022;
499940-38,Caesar Chad,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,227820-52,Solana,169267-15T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Solana; status=Active; holding=Minority; since=04/01/2021 | DealInvestorRelation: Solana; deal=169267-15T; date=04/01/2021; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Solana; deal=169267-15T; date=04/01/2021; type=Early Stage VC; co_investors=61
57379-15,Caffeinated Capital,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,24,6,6,0,3,222110-11|223497-19|226905-76|230376-34|230777-74|233846-92,O1Labs|DIRT Protocol|Celo Foundation|Dapper Labs|dYdX Labs|Chia Network,108782-83T|112922-02T|123310-09T|170706-25T|96997-87T|99084-70T,14895-55F|16100-56F|16345-63F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: O1Labs; status=Active; holding=Minority; since=05/10/2018 | CompanyInvestorRelation: DIRT Protocol; status=Former; holding=Minority; since=07/11/2018 | CompanyInvestorRelation: Celo Foundation; status=Active; holding=Minority; since=04/20/2021 | CompanyInvestorRelation: Dapper Labs; status=Active; holding=Minority; since= | CompanyInvestorRelation: dYdX Labs; status=Active; holding=Minority; since=12/19/2017 | CompanyInvestorRelation: Chia Network; status=Active; holding=Minority; since=04/18/2018 | DealInvestorRelation: Celo Foundation; deal=170706-25T; date=04/20/2021; type=Early Stage VC; lead=No; fund=Caffeinated Capital Opportunity Fund II | DealInvestorRelation: Dapper Labs; deal=123310-09T; date=08/06/2020; type=Early Stage VC; lead=No; fund=Curious Endeavors II | DealInvestorRelation: O1Labs; deal=112922-02T; date=05/10/2018; type=Seed Round; lead=No; fund=Caffeinated Capital Fund II | DealInvestorRelation: DIRT Protocol; deal=108782-83T; date=07/11/201
159804-91,CAICA,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,109679-77|165012-94,FISCO (Other Financial Services)|Tech Bureau,254775-43T|94026-07T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: FISCO (Other Financial Services); status=Active; holding=Minority; since=03/07/2024 | CompanyInvestorRelation: Tech Bureau; status=Former; holding=Minority; since=09/07/2017 | DealInvestorRelation: Tech Bureau; deal=94026-07T; date=09/07/2017; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: FISCO (Other Financial Services); deal=254775-43T; date=03/07/2024; type=Secondary Transaction - Private; lead=No; fund= | InvestorInvestmentRelation: FISCO (Other Financial Services); deal=254775-43T; date=03/07/2024; type=Secondary Transaction - Private; co_investors= | InvestorInvestmentRelation: Tech Bureau; deal=94026-07T; date=09/07/2017; type=Early Stage VC (Series B); co_investors=2
762775-03,Cairi Legacy Partners,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,103164-04,Wealth Migrate,288405-55T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Wealth Migrate; status=Active; holding=Minority; since=03/19/2025 | DealInvestorRelation: Wealth Migrate; deal=288405-55T; date=03/19/2025; type=Later Stage VC; lead=No; fund= | InvestorInvestmentRelation: Wealth Migrate; deal=288405-55T; date=03/19/2025; type=Later Stage VC; co_investors=
484678-81,CaKoin Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,471277-63|484388-65,Picipo|TryHards,184592-44T|203048-38T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Picipo; status=Former; holding=Minority; since=01/01/2021 | CompanyInvestorRelation: TryHards; status=Former; holding=Minority; since=11/23/2021 | DealInvestorRelation: TryHards; deal=184592-44T; date=11/23/2021; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Picipo; deal=203048-38T; date=01/01/2021; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Picipo; deal=203048-38T; date=01/01/2021; type=Early Stage VC; co_investors=30 | InvestorInvestmentRelation: TryHards; deal=184592-44T; date=11/23/2021; type=Early Stage VC; co_investors=19
493495-93,Caladan,company_investor_relation|deal_investor_relation|investor_investment_relation,72,24,24,0,0,443328-22|452949-04|454358-17|467976-88|469282-15|483741-28|484193-44|493698-25|496124-56|497210-86|509519-44|510169-15|518814-19|522802-00|529655-32|530787-16|531085-87|538850-17|552797-20|568897-66|571570-12|593003-89|600143-50|707165-56,Plume|Bitmap Tech|World|Vana|0G labs|Celestia|API3|Imua|MANTRA (Hong Kong)|Ethena (Financial Software)|KTX Finance|Open Campus (Hong Kong)|M0|Berachain|Cap Labs|Category Labs|Kaito (Information Services (B2C))|Gaia (California)|Bitlayer|Kaia DLT Foundation|Particle Network|Treehouse (Financial Software)|C3 (Financial Software)|Zentry,190439-83T|205193-53T|214253-74T|214916-86T|214965-64T|228074-86T|244036-18T|249294-79T|249702-85T|252594-01T|254070-10T|254816-65T|257789-89T|260509-33T|260587-18T|261270-01T|267699-97T|272513-35T|272968-30T|276359-95T|280900-18T|281304-10T|297425-44T|310628-08T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Plume; status=Active; holding=Minority; since=01/01/2025 | CompanyInvestorRelation: Bitmap Tech; status=Active; holding=Minority; since=06/01/2025 | CompanyInvestorRelation: World; status=Active; holding=Minority; since=05/25/2023 | CompanyInvestorRelation: Vana; status=Active; holding=Minority; since=09/18/2024 | CompanyInvestorRelation: 0G labs; status=Active; holding=Minority; since=04/21/2024 | CompanyInvestorRelation: Celestia; status=Active; holding=Minority; since=09/23/2024 | CompanyInvestorRelation: API3; status=Active; holding=Minority; since=05/29/2024 | CompanyInvestorRelation: Imua; status=Active; holding=Minority; since=11/01/2023 | CompanyInvestorRelation: MANTRA (Hong Kong); status=Active; holding=Minority; since=03/19/2024 | CompanyInvestorRelation: Ethena (Financial Software); status=Active; holding=Minority; since=03/08/2024 | CompanyInvestorRelation: KTX Finance; status=Active; holding=Minority; since=07/11/2023 | CompanyInvestorRelation: Op
640561-42,Caladan Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,538850-17,Imua,285923-89T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Imua; status=Active; holding=Minority; since=02/24/2025 | DealInvestorRelation: Imua; deal=285923-89T; date=02/24/2025; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: Imua; deal=285923-89T; date=02/24/2025; type=Seed Round; co_investors=10
484027-57,Calamari Ventures,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,484022-71,Pocket Arena,183619-72T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Pocket Arena; status=Former; holding=Minority; since=11/17/2021 | DealInvestorRelation: Pocket Arena; deal=183619-72T; date=11/17/2021; type=Later Stage VC; lead=No; fund= | InvestorInvestmentRelation: Pocket Arena; deal=183619-72T; date=11/17/2021; type=Later Stage VC; co_investors=15
