task_index,InvestorID,InvestorName,InvestorAlsoKnownAs,InvestorFormerName,InvestorLegalName,Website,normalized_domain,ParentCompany,Exchange,Ticker,HQLocation,HQCountry,PrimaryInvestorType,OtherInvestorTypes,PreferredInvestmentTypes,PreferredVerticals,OtherInvestmentPreferences,LastClosedFundName,LastClosedFundType,Description,MatchedKeywords,MatchedColumns,InvestorCapabilityContext,SearchPolicy,AgentTaskScope
2612,179919-82,CCV Management,"China Creation, CCV Fund",China Creation Ventures,CCV Management Limited,www.ccvcap.com,ccvcap.com,,,,"Singapore, Singapore",Singapore,Venture Capital,,"Early Stage VC, Seed Round","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CleanTech, E-Commerce, TMT","Prefers minority stake, Will syndicate",Wenzhou CCV Venture Fund,Venture - General,"Founded in 2017, Cyber Creation Ventures is a venture capital firm based in Singapore. The firm seeks to invest in consumer products and services (b2c), financial services, healthcare, and information technology. The firm is a global venture capital firm deeply rooted in the Silicon Valley ethos, specializing in early-stage investments while upholding the esteemed legacy of KPCB. The firm operates from offices in Singapore, Silicon Valley, and Beijing, investing in pioneering global technologies. With assets under management approaching $2 billion, its founding team leverages extensive entrepreneurial expertise to identify and cultivate high-potential startups. Within its first decade, the f",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CleanTech, E-Commerce, TMT | PreferredInvestmentTypes: Early Stage VC",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2613,56871-91,Conversion Capital,Conversion,,"Conversion Capital, LLC",www.conversioncapital.com,conversioncapital.com,,,,"New York, NY",United States,Venture Capital,,"Early Stage VC, Seed Round","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Digital Health, FinTech, Infrastructure, Manufacturing, SaaS","Long-Term Investor, Prefers minority stake, Will syndicate",Conversion Capital Fund III,Venture Capital - Early Stage,"Founded in 2015, Conversion Capital is a venture capital firm based in New York. The firm seeks to invest in early-stage cloud infrastructure, software, and data companies across the industry.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Digital Health, FinTech, Infrastructure, Manufact",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2614,226523-26,Data Ventures,,Data Invest,Data Ventures LLC,www.dataventures.io,dataventures.io,,,,"Warsaw, Poland",Poland,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT","Prefers minority stake, Will syndicate",Data Fund II,Venture Capital - Early Stage,"Data Ventures was a venture capital firm based in Warsaw, Poland. The firm preferred to invest in finance technology, development tools, software as a service (SaaS), artificial intelligence, blockchain, and big data sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT | Prefe",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2615,227193-94,Decacorn Capital,,,Decacorn Capital Pte Ltd,decacorn.vc,decacorn.vc,,,,"Singapore, Singapore",Singapore,Venture Capital,,"Early Stage VC, Grant, Later Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Big Data, Cryptocurrency/Blockchain, EdTech, FinTech, HealthTech, Internet of Things, Micro-Mobility, Mobile Commerce, Robotics and Drones, SaaS","Prefers minority stake, Seeks Impact investments, Will syndicate",,,"Founded in 2016, Decacorn Capital is a venture capital firm based in Singapore. The firm seeks to invest in artificial intelligence, aerospace, blockchain, cloud & edge, genomics, and robotics sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Big Data, Cryptocurrency/Blockchain, EdTech, FinTech, HealthTech, Internet of Things, Micro-Mobility, M",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2616,185886-37,Endeavor Catalyst,,,Endeavor Catalyst LP,,,Endeavor Global,,,"New York, NY",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","AgTech, B2B Payments, E-Commerce, EdTech, FinTech, FoodTech, HealthTech, Internet of Things, LOHAS & Wellness, Real Estate Technology, SaaS, TMT","Long-Term Investor, Prefers minority stake, Will syndicate",Endeavor Catalyst IV,Venture Capital - Later Stage,"Founded in 2012, Endeavor Catalyst is a venture capital investment firm based in New York. The firm prefers to invest in agriculture, education, talent, enterprise software & services, finance technology, food & beverage, healthcare, retail & consumer technology, and smart city sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: AgTech, B2B Payments, E-Commerce, EdTech, FinTech, FoodTech, HealthTech, Internet of Things, LOHAS & Wellness, Real Estate Technology, SaaS, TMT |",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2617,231013-45,EQUIAM,,,Equiam LLC,equiam.com,equiam.com,,,,"San Francisco, CA",United States,Venture Capital,Asset Manager,"Later Stage VC, PE Growth/Expansion",,Will syndicate,Equiam Master Fund III,Venture - General,"Founded in 2018, EQUIAM is an venture capital firm based in San Francisco, California. The firm prefers to invest in later-stage and growth-stage venture-backed companies. This firm is a Registered Investment Adviser (RIA).",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Asset Manager | PreferredInvestmentTypes: Later Stage VC, PE Growth/Expansion | CompanyInvestorRelation: Uphold Worldwide; status=Active; holding=M",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2618,435975-22,Ethos VC,,,Ethos Manager LLC,www.ethos.vc,ethos.vc,,,,"San Francisco, CA",United States,Venture Capital,Business Development Company,"Early Stage VC, Seed Round","Artificial Intelligence & Machine Learning, B2B Payments, Climate Tech, FinTech, Industrials, Infrastructure, Internet of Things, Real Estate Technology, SaaS","Prefers minority stake, Will syndicate",Ethos Opportunities Fund II,Venture Capital - Later Stage,"Founded in 2016, Ethos VC is a venture capital firm based in San Francisco, California. The firm prefers to invest in fintech, infrastructure, and logistics sectors in the United States. This firm is a Registered Investment Adviser (RIA).",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Business Development Company | PreferredVerticals: Artificial Intelligence & Machine Learning, B2B Payments, Climate Tech, FinTech, Industrials, In",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2619,185891-41,GC VR Gaming Tracker Fund,,,"GC VR Gaming Tracker Fund, LP",,,Greycroft,,,"Los Angeles, CA",United States,Venture Capital,,"Early Stage VC, Seed Round","Augmented Reality, E-Commerce, Esports, Gaming, TMT, Virtual Reality","Prefers minority stake, Will syndicate",GC VR Gaming Tracker Fund,Venture - General,"Founded in 2016, GC VR Gaming Tracker Fund was a venture capital investment firm headquartered in Los Angeles, California. The firm sought to support seed-stage companies across the virtual reality, augmented reality, video game, and e-sport sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Augmented Reality, E-Commerce, Esports, Gaming, TMT, Virtual Reality | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelati",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2620,265545-37,GD1,,Global From Day One,GD One Pty Ltd,www.gd1.vc,gd1.vc,,,,"Auckland, New Zealand",New Zealand,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","3D Printing, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, B2B Payments, Big Data, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, EdTech, FemTech, FinTech, HealthTech, HR Tech, Impact Investing, Industrials, Infrastructure, InsurTech, Internet of Things, Legal Tech, LOHAS & Wellness, Manufacturing, Marketing Tech, Mobile Commerce, Mobility Tech, Mortgage Tech, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT","Prefers minority stake, Seeks ESG investments, Will syndicate",Global From Day One Fund 3,Venture Capital - Early Stage,"Founded in 2012, GD1 is a venture capital firm based in Auckland, New Zealand. The firm prefers to invest in companies based in New Zealand operating in the technology sector.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: 3D Printing, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, B2B Payments, Big Data, Clea",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2621,234088-84,Gilga Capital,,,Gilga Capital Ltd,www.gilga.io,gilga.io,,,,"Toronto, Canada",Canada,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",Gila I,Venture - General,"Founded in 2018, Gilga Capital was a blockchain venture capital firm based in Toronto, Canada. The firm used to invest in blockchain-based startups.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, L",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2622,151382-17,Green Sands Equity,Green Sands,,Green Sands Equity Incorporated,www.greensandsequity.com,greensandsequity.com,,,,"San Francisco, CA",United States,Venture Capital,"Family Office, Government, Impact Investing, Other Private Equity, Sovereign Wealth Fund","Early Stage VC, IPO, Later Stage VC, Merger/Acquisition, PE Growth/Expansion, PIPE, Reverse Merger, Secondary Transaction - Private","Artificial Intelligence & Machine Learning, Augmented Reality, Autonomous cars, B2B Payments, Big Data, Car-Sharing, CleanTech, Climate Tech, CloudTech & DevOps, Cybersecurity, Digital Health, E-Commerce, EdTech, FinTech, FoodTech, HealthTech, Industrials, InsurTech, Life Sciences, Manufacturing, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Nanotechnology, Oncology, Ridesharing, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self","Long-Term Investor, Prefers majority stake, Will lead on a deal, Will syndicate",Green Sands Fund A-Z,Venture - General,"Founded in 2015, Green Sands Equity is a venture capital firm based in San Francisco, California. The firm prefers to invest in space, technology, healthcare, and future technology sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Family Office, Government, Impact Investing, Other Private Equity, Sovereign Wealth Fund | PreferredVerticals: Artificial Intelligence & Machine Le",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2623,535181-95,KASIKORN Business-Technology Group,,,,www.kbtg.tech,kbtg.tech,Kasikornbank,,,"Nonthaburi, Thailand",Thailand,Corporate Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round, Spin-Off","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, Cybersecurity, TMT","Prefers minority stake, Will syndicate",The KXVC Fund,Venture - General,"Founded in 2016, KASIKORN Business-Technology Group is the corporate venture arm of KASIKORNBANK based in Nonthaburi, Thailand. The firm seeks to invest in artificial intelligence, web3, deep tech, cybersecurity, and blockchain sectors across the Asia-Pacific region.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, Cybersecurity, TMT | PreferredInvestmentTypes: Early Stage VC, Lat",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2624,399445-12,KittyHawk,,,"KittyHawk Ventures, LLC",www.kittyhawkvc.com,kittyhawkvc.com,,,,"Los Angeles, CA",United States,Venture Capital,,"Early Stage VC, Secondary Transaction - Private, Seed Round","Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, Big Data, CleanTech, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, Esports, FinTech, HealthTech, HR Tech, Internet of Things, Life Sciences, Mobility Tech, Robotics and Drones, SaaS, Space Technology, Virtual Reality","Prefers minority stake, Seeks Impact investments, Will syndicate",KittyHawk Ventures Three,Venture Capital - Early Stage,"Founded in 2015, KittyHawk is a Venture Capital firm based in Santa Monica, California. The firm focuses on leading-edge seed to late-stage pre-IPO companies. The firm supports extraordinary, mission-driven entrepreneurs in their quest to build world-changing organizations. The firm is targeting $50 million in capital commitments to continue its proven investment strategy of backing visionary founders building transformational companies at the frontier of technology. The firm has consistently focused on identifying N of 1 companies - unique, mission-driven ventures with the potential to lead or create entirely new market categories.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, Big Data, CleanTech, Cryptocurrency/Blockchain, Cybe",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2625,176117-41,LEAD (Venture Capital),"leAD, leAD Sports",,LEAD MANAGEMENT COMPANY LTD.,www.lead.vc,lead.vc,,,,"Orlando, FL",United States,Venture Capital,,,"Digital Health, Esports, Gaming, HealthTech",,Lead One,Venture Capital - Early Stage,"Founded in 2016, LEAD is a Venture Capital firm headquartered in Orlando, Florida. The firm seeks to invest in sports, health tech, and other sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Digital Health, Esports, Gaming, HealthTech | CompanyInvestorRelation: RealFevr; status=Active; holding=Minority; since=10/31/2022 | CompanyInvesto",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2626,465832-27,Mosaic General Partnership,,,"Mosaic General Partnership, LLC",mgp.vc,mgp.vc,,,,"San Francisco, CA",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round",TMT,"Prefers minority stake, Seeks Impact investments, Will syndicate",MSTRYSHB,Venture - General,"Founded in 2021, Mosaic General Partnership is a venture capital firm based in San Francisco, California.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Coinbase Global; status=Former; holding=Minor",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2627,11255-50,NGP Capital,NGP,"Nokia Growth Partners, Nokia Growth Partners US LLC","NGP Capital US, LLC",www.ngpcap.com,ngpcap.com,Nokia,,,"Palo Alto, CA",United States,Venture Capital,Growth/Expansion,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round","Advanced Manufacturing, B2B Payments, Cybersecurity, Digital Health, Industrials, Infrastructure, Micro-Mobility, Mobile","Prefers minority stake, Seeks ESG investments, Seeks Impact investments, Will lead on a deal, Will syndicate",NGP Capital Fund V,Venture - General,"Established in 2005, NGP Capital is a venture capital investment firm based in Palo Alto, California. The firm seeks to invest in B2B companies operating in the enterprise, software, industrial technology, cybersecurity, and data infrastructure sectors across Europe, Israel, and the United States. This firm is a Registered Investment Adviser (RIA).",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Growth/Expansion | PreferredVerticals: Advanced Manufacturing, B2B Payments, Cybersecurity, Digital Health, Industrials, Infrastructure, Micro-Mobi",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2628,51061-60,Northern Light Venture Capital,Northern Light,,Northern Light Venture Capital Development Limited,www.nlvc.com,nlvc.com,,,,"Menlo Park, CA",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Advanced Manufacturing, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, HealthTech, Internet of Things, Mobile, Oncology, SaaS","Prefers minority stake, Will syndicate",Tianjin Jichuang Haiyuan QFLP Fund,Venture - General,"Founded in 2005, Northern Light Venture Capital is a venture capital firm based in Menlo Park, California. The firm prefers to invest in enterprise, healthcare, and consumer sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Advanced Manufacturing, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, HealthTech, Internet of Things, Mobile, Oncology, SaaS",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2629,62138-71,Nyca Partners,Nyca,,Nyca Partners LLC,www.nyca.com,nyca.com,,,,"New York, NY",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round",FinTech,"Prefers minority stake, Will syndicate",Nyca Investment Fund IV,Venture - General,"Founded in 2014, Nyca Partners is a venture capital firm based in New York. The firm prefers to invest in the financial technology sector across the United States. This firm is a Registered Investment Adviser (RIA).",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 2 token companies, 2 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Aave; status=Active; holding=Minority; si",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
