task_index,InvestorID,InvestorName,InvestorAlsoKnownAs,InvestorFormerName,InvestorLegalName,Website,normalized_domain,ParentCompany,Exchange,Ticker,HQLocation,HQCountry,PrimaryInvestorType,OtherInvestorTypes,PreferredInvestmentTypes,PreferredVerticals,OtherInvestmentPreferences,LastClosedFundName,LastClosedFundType,Description,MatchedKeywords,MatchedColumns,InvestorCapabilityContext,SearchPolicy,AgentTaskScope
11,226878-04,Signum Capital,,,Signum Capital Management Pte. Ltd.,www.signum.capital,signum.capital,,,,"Singapore, Singapore",Singapore,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, Cybersecurity, FinTech, Gaming, Infrastructure, SaaS, TMT","Prefers minority stake, Will syndicate",UVM Signum Blockchain fund,Venture Capital - Early Stage,"Founded in 2017, Signum Capital is a venture capital firm based in Singapore. The firm prefers to invest in companies operating in the finance and technology sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 116 token companies, 124 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, Cybersecurity, FinTech, Gaming, Infrastructure, SaaS, TMT | PreferredInvestmentTypes: Early Stage VC, Seed Round | C",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
12,234465-85,Spartan Group,,,Spartan Group LLC,www.spartangroup.io,spartangroup.io,,,,"Singapore, Singapore",Singapore,Asset Manager,"Hedge Fund, Venture Capital",,"Cryptocurrency/Blockchain, FinTech",,Spartan Venture Fund II,Venture Capital - Early Stage,"Founded in 2018, Spartan Group is an asset management and advisory firm based in Singapore. The firm seeks to invest in information technology, blockchain & financial technology sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 115 token companies, 125 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Asset Manager | OtherInvestorTypes: Hedge Fund, Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | CompanyInvestorRelation: LayerZero; status=Active; holding",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
13,466834-15,Kosmos Ventures,,,,www.kosmos.vc,kosmos.vc,,,,"Perth, Australia",Australia,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, Gaming, Infrastructure","Prefers minority stake, Will syndicate",,,"Founded in 2017, Kosmos Ventures is a venture capital firm based in Perth, Australia. The firm prefers to invest in companies operating in the blockchain, infrastructure, game finance, and decentralised finance sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 115 token companies, 117 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, Gaming, Infrastructure | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Fuel Labs; status=Active; h",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
14,224006-95,Hashed,,,"Hashed Ventures, Inc",www.hashed.com,hashed.com,,,,"Seoul, South Korea",South Korea,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, SaaS, TMT","Prefers minority stake, Will syndicate",Hashed Venture Fund III,Venture - General,"Founded in 2017, Hashed is a venture capital firm based in Seoul, South Korea. The firm seeks to invest in the cryptocurrency and blockchain sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 110 token companies, 129 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, SaaS, TMT | PreferredInvestmentTypes: Accelerator/Incubator, Ea",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
15,503136-10,DWF Options,,,DWF Options Ltd.,dwf-labs.com,dwf-labs.com,,,,"Dubai, United Arab Emirates",United Arab Emirates,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",DWF Labs Liquid Fund,Venture - General,"Founded in 2022, DWF Labs is a venture capital firm based in Dubai, United Arab Emirates. The firm invests in companies operating in the web3 and cryptocurrency sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 107 token companies, 114 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Scallop Labs; status=Active; holding=Minority; sinc",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
16,484522-30,International Blockchain Consulting,,,,ibcgroup.io,ibcgroup.io,,,,"London, United Kingdom",United Kingdom,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",,,"Founded in 2017, International Blockchain Consulting is a venture capital firm based in London, United Kingdom. The firm seeks to incubate and invest in blockchain technology startups.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 107 token companies, 107 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed R",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
17,462677-86,CSP DAO,,,CSP DAO Inc.,www.cspdao.network,cspdao.network,,,,Cayman Islands,Cayman Islands,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, SaaS, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2020, CSP DAO is a venture capital firm based in the Cayman Islands. The firm invests in companies operating in the blockchain and cryptocurrency sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 106 token companies, 107 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, SaaS, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: 5ire; status=Failed; holding=Mino",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
18,462605-50,GBV Capital,,,,gbv.capital,gbv.capital,,,,Cayman Islands,Cayman Islands,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2020, GBV Capital is a venture capital investment firm based in the Cayman Islands. The firm prefers to invest in the blockchain and digital asset sectors across Asia.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 105 token companies, 112 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: OrangeDX; status=Active; holdi",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
19,492659-74,BlackDragon (Zagreb),,,,www.blackdragon.io,blackdragon.io,,,,"Zagreb, Croatia",Croatia,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Seed Round",Cryptocurrency/Blockchain,"Prefers minority stake, Will syndicate",,,"Founded in 2017, BlackDragon is a venture capital firm headquartered in Zagreb, Croatia. The firm seeks to invest in the blockchain and DeFi sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 104 token companies, 107 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Seed Round | CompanyInvestorRel",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
20,461989-90,Exnetwork Capital,,,,www.exnetworkcapital.com,exnetworkcapital.com,,,,"Manila, Philippines",Philippines,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Cryptocurrency/Blockchain,"Prefers minority stake, Will syndicate",,,"Founded in 2018, Exnetwork Capital is a venture capital firm based in Manila, Philippines. The firm seeks to invest in the cryptocurrency and blockchain sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 104 token companies, 106 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round | Co",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
